NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"pg 29",40.8,23.16,32.52,37.52,16.04
"pg 29",36.36,24.26,34.14,33.1,15
"pg 29",41.49,21.49,31.4,38.59,15.22
"pg 29",37.94,22,30.62,35.15,14.21
"pg 29",40.97,22.68,31.78,37.79,15.8
"pg 29",41.76,23.5,31.21,38.27,16.67
"pg 29",35.4,20.35,29.19,33.19,12.32
"pg 29",42.95,21.95,32.09,39.82,16.07
"pg 29",42.76,23.63,31.69,39.17,17.15
"pg 29",39.57,23.16,34.35,36.39,15.53
"pg 29",44.22,25.96,33.71,39.76,19.35
"pg 29",36.13,22.84,31.55,33.3,14.02
"pg 29",43.13,27.04,35,38.4,19.62
"pg 29",39.37,24.96,33.78,35.66,16.62
"pg 29",39.75,27.9,34.43,35.11,18.58
"pg 29",46.46,30.18,36.12,40.08,23.44
"pg 29",38.88,24.2,31.89,35.46,15.94
"pg 29",36.99,25.38,34.12,33.42,15.85
"pg 29",39.97,24.56,35.97,36.3,16.67
"pg 29",46.16,30.07,36.21,39.91,23.13
"pg 29",37.56,32.28,35.98,31.76,20.06
"pg 29",46.27,30.68,37.25,39.72,23.6
"pg 29",48.94,33.52,38.16,40.67,27.1
"pg 29",43.36,26.93,35.34,38.57,19.73
"pg 29",44.28,26.22,33.65,39.7,19.57
"pg 29",45.01,30.35,37.15,38.82,22.76
"pg 29",45.57,32.95,35.83,38.24,24.74
"pg 29",33.55,25.81,36.4,45.78,23.27
"pg 29",36.45,29.64,33.49,30.2,14.6
"pg 29",39.55,23.75,37.25,31.68,18.02
"pg 29",38.76,30.2,36.24,36.2,15.93
"pg 29",38.02,24.19,31.92,33.5,19.49
"pg 29",40.03,24.09,32.26,36.54,16.33
"pg 29",40.09,30.39,38.52,34.58,20.18
"pg 29",38.65,27.24,32.97,34.33,17.67
"pg 29",41.18,22.12,32.5,38.14,15.51
"pg 29",41.3,28.19,36.57,36.39,19.45
"pg 29",39.74,28.95,36.77,34.72,19.22
"pg 29",40.27,26.45,36.66,36.07,17.91
"pg 29",44.44,23.39,32.95,40.78,17.63
"pg 29",39.8,22.11,31.2,36.84,15
"pg 29",43.96,27.15,34.34,39.09,20.06
"pg 29",38.5,28.47,37.23,33.84,18.35
"pg 29",41.07,31.35,36.4,35.08,21.37
"pg 29",44.69,29.09,37.57,39.06,21.73
"pg 29",38,21.85,31.71,35.27,14.14
"pg 29",40.78,25.26,36.92,36.88,17.4
"pg 29",35.7,22.04,28.89,33.09,13.4
"pg 29",46.26,25.82,36.51,41.64,20.15
"pg 29",41.5,26.35,37.85,37.19,18.42
"pg 29",44.98,28.34,35.28,39.59,21.35
"pg 29",46.96,30.82,35.21,40.33,24.06
"pg 29",36.56,38.69,39.63,28.54,22.86
"pg 29",47.88,29.49,38.19,41.68,23.57
"pg 29",43.6,31.73,39.58,37.08,22.93
"pg 29",43.57,36.41,42.19,35.07,25.86
"pg 29",49.79,28.2,35.74,43.88,23.53
"pg 29",44.75,34.42,41.47,36.92,25.3
"pg 29",43.18,37.81,42.78,34.12,26.47
"pg 29",44.33,38.19,38.05,34.84,27.41
"pg 29",37.46,22.58,32.3,34.59,14.38
"pg 29",42.5,37.77,45.48,33.6,26.03
"pg 29",41.65,26.59,34.29,37.24,18.64
"pg 29",50.03,27.28,36.22,44.47,22.93
"pg 29",37.31,25.43,35.17,33.69,16.02
"pg 29",49.36,29.54,39.75,42.94,24.34
"pg 29",40.72,26.86,39.08,36.33,18.4
"pg 29",46.4,28.72,37.68,40.69,0
"pg 29",37.06,35.06,38.83,30.34,22.29
"pg 29",41.08,29.9,38.79,35.61,0
"pg 29",41.89,23.81,35.71,38.33,15.4
"pg 29",48.68,31.4,38.85,41.55,20.48
"pg 29",46.8,26.16,35.97,42.01,16.91
"pg 29",41.27,27.85,37.1,36.49,25.36
"pg 29",40.49,30.46,35.94,34.9,20.52
"pg 29",38,36.42,36.76,30.58,22.56
"pg 29",31.22,39.42,38.13,24.12,19.82
"pg 29",44.24,29.15,40.15,38.64,21.55
"pg 29",40.39,23.12,36.01,37.15,15.86
"pg 29",39.74,24.58,36.28,36.13,16.53
"pg 29",43.08,26.3,37.94,38.62,19.08
"pg 29",33.26,28.37,39.82,29.27,15.81
"pg 29",42.73,28.15,39.41,37.68,20.16
"pg 29",36.11,24.13,30.23,32.95,14.76
"pg 29",41.18,26.84,35.23,36.74,18.59
"pg 29",35.12,24.93,34.12,31.85,14.81
"pg 29",32.98,29.84,34.49,28.61,16.41
"pg 29",42.51,24.05,34.1,38.82,17.33
"pg 29",42.61,27.92,36.82,37.65,19.95
"pg 29",42.66,30.01,35.95,36.94,21.33
"pg 29",40.81,29.48,37.69,35.53,20.08
"pg 29",39.1,25.78,35.56,35.21,17.01
"pg 62",35.94,37.33,39.36,28.69,21.46
"pg 62",40.43,25.81,34.25,36.37,17.63
"pg 62",41.46,27.13,35.15,36.91,18.87
"pg 62",41.5,25.32,33.56,37.49,17.77
"pg 62",43.7,29.29,39.77,38.13,21.34
"pg 62",39.34,22.95,31.59,36.19,15.37
"pg 62",42.03,24.39,33.78,38.17,17.47
"pg 62",41.63,25.35,33.84,37.61,17.8
"pg 62",40.56,26.89,36.34,36.07,18.49
"pg 62",40.02,25.67,31.78,35.97,17.44
"pg 62",41.94,25.65,34.73,37.72,18.27
"pg 62",43.62,26.93,34.68,38.84,19.8
"pg 62",45.1,30.36,36.12,38.92,22.8
"pg 62",41.22,30.75,35.25,35.42,21.07
"pg 62",41.8,27.12,34.72,37.2,19.07
"pg 62",38.28,25.07,32.86,34.66,16.23
"pg 62",37.85,24,30.97,34.58,15.39
"pg 62",44.74,27.84,36.49,39.53,20.91
"pg 62",43.97,28.24,36.98,38.72,20.81
"pg 62",42.29,29.46,36.87,36.82,20.81
"pg 62",37.73,25.29,33.83,34.11,16.08
"pg 62",42.1,29.01,35.77,36.8,20.4
"pg 62",36.14,25.53,33.37,32.61,15.57
"pg 62",40.03,28.67,35.56,35.06,19.24
"pg 62",31.46,23.99,22.69,28.74,12.79
"pg 62",36.27,22.37,31.68,33.54,13.8
"pg 62",35.2,22.35,30.63,32.55,13.39
"pg 62",39.91,24.56,33.26,36.3,16.59
"pg 62",41.22,24.93,33.74,37.37,17.37
"pg 62",38.49,29.42,34.14,33.54,18.87
"pg 62",38.12,24.74,35.14,34.61,15.96
"pg 62",37.28,25.31,32.35,33.7,15.92
"pg 62",41.19,26.31,34.67,36.93,18.25
"pg 62",40.07,24.36,33.62,36.5,16.51
"pg 62",39.02,26.69,32.85,34.85,17.53
"pg 62",40.73,24.82,32.78,36.96,17.09
"pg 62",39.13,26.54,34.26,34.99,17.44
"pg 62",38.19,26.09,35.75,34.29,16.79
"pg 62",48.22,29.82,36.85,41.84,23.97
"pg 62",44.47,23.45,34.73,40.77,17.74
"pg 62",41.13,22.53,33.95,37.97,15.77
"pg 62",45.45,28.1,35.67,40.09,21.39
"pg 62",44.94,24.57,35.04,40.84,18.68
"pg 62",45.28,23.93,34.15,41.38,18.37
"pg 62",48.36,28,34.32,42.7,22.7
"pg 62",38.16,29.46,38.44,33.22,18.77
"pg 62",33.98,25.26,33.95,30.73,14.5
"pg 62",39.91,26.17,34.46,35.82,17.6
"pg 62",42.12,26.46,36.77,37.71,18.77
"pg 62",45.24,23.63,34.97,41.44,18.13
"pg 62",37.38,34.39,36.5,30.85,21.12
"pg 62",44.26,26.54,36.32,39.6,19.78
"pg 62",40.45,39.9,40.58,31.03,25.95
"pg 62",44.67,32.57,37.7,37.65,24.05
"pg 62",40.64,32.32,36.23,34.34,21.73
"pg 62",47.48,27.47,38.03,42.13,21.91
"pg 62",48.03,31.95,42.67,40.75,25.41
"pg 62",38.97,26.06,35.55,35.01,17.12
"pg 62",54.62,33.13,42.76,45.74,29.85
"pg 62",38.58,27.81,38.76,34.12,18
"pg 62",33.94,25.37,34.51,30.67,14.54
"pg 62",45.54,26.23,36.68,40.85,20.13
"pg 62",46.95,27.36,37.36,41.7,21.58
"pg 62",37.46,29.54,38.73,32.59,18.47
"pg 62",41.29,24.26,35.64,37.64,16.97
"pg 62",32.87,32.22,36.85,27.8,17.52
"pg 62",39.88,30.71,36.22,34.28,20.36
"pg 62",44.14,32.06,36.8,37.41,23.43
"pg 62",43.67,30.17,36.86,37.75,21.94
"pg 62",41.73,26.27,34.68,37.42,18.47
"pg 62",42.49,27.2,37.02,37.79,19.42
